RUN	bank.CreateAccountSimulation	createaccountsimulation	1593599673367	 	3.3.1
USER	Create account	379	START	1593599681058	1593599681058
USER	Create account	381	START	1593599681058	1593599681058
USER	Create account	384	START	1593599681068	1593599681068
USER	Create account	383	START	1593599681068	1593599681068
USER	Create account	382	START	1593599681068	1593599681068
REQUEST	72		Create new account	1593599680036	1593599681072	OK	 
USER	Create account	72	END	1593599680035	1593599681072
REQUEST	77		Create new account	1593599680048	1593599681077	OK	 
USER	Create account	77	END	1593599680045	1593599681077
REQUEST	75		Create new account	1593599680046	1593599681078	OK	 
USER	Create account	75	END	1593599680045	1593599681079
USER	Create account	386	START	1593599681078	1593599681078
USER	Create account	387	START	1593599681078	1593599681078
USER	Create account	385	START	1593599681078	1593599681078
USER	Create account	388	START	1593599681090	1593599681090
USER	Create account	389	START	1593599681091	1593599681091
USER	Create account	390	START	1593599681091	1593599681091
USER	Create account	391	START	1593599681094	1593599681094
USER	Create account	392	START	1593599681094	1593599681094
USER	Create account	393	START	1593599681094	1593599681094
REQUEST	76		Create new account	1593599680047	1593599681099	OK	 
USER	Create account	76	END	1593599680045	1593599681100
USER	Create account	396	START	1593599681104	1593599681104
USER	Create account	395	START	1593599681104	1593599681104
USER	Create account	394	START	1593599681104	1593599681104
REQUEST	80		Create new account	1593599680057	1593599681106	OK	 
USER	Create account	80	END	1593599680056	1593599681107
USER	Create account	399	START	1593599681115	1593599681115
USER	Create account	397	START	1593599681115	1593599681115
USER	Create account	398	START	1593599681115	1593599681115
REQUEST	83		Create new account	1593599680068	1593599681120	OK	 
USER	Create account	83	END	1593599680067	1593599681121
REQUEST	78		Create new account	1593599680057	1593599681126	OK	 
USER	Create account	401	START	1593599681126	1593599681126
USER	Create account	400	START	1593599681126	1593599681126
USER	Create account	402	START	1593599681126	1593599681126
USER	Create account	78	END	1593599680056	1593599681127
USER	Create account	403	START	1593599681137	1593599681137
USER	Create account	404	START	1593599681137	1593599681137
USER	Create account	405	START	1593599681137	1593599681137
USER	Create account	406	START	1593599681147	1593599681147
USER	Create account	408	START	1593599681147	1593599681147
USER	Create account	407	START	1593599681147	1593599681147
REQUEST	81		Create new account	1593599680068	1593599681147	OK	 
USER	Create account	81	END	1593599680067	1593599681148
USER	Create account	410	START	1593599681158	1593599681158
USER	Create account	409	START	1593599681158	1593599681158
USER	Create account	411	START	1593599681158	1593599681158
USER	Create account	414	START	1593599681169	1593599681169
USER	Create account	413	START	1593599681169	1593599681169
