RUN	bank.TotalLoadSimulation	totalloadsimulation	1593599850915	 	3.3.1
REQUEST	38		Transaction	1593599858757	1593599860845	OK	 
USER	Bank Load	188	START	1593599860853	1593599860853
REQUEST	76		Get Balance	1593599858597	1593599860874	OK	 
USER	Bank Load	189	START	1593599860874	1593599860874
REQUEST	30		Create new account	1593599858787	1593599860891	OK	 
USER	Bank Load	30	END	1593599857683	1593599860892
USER	Bank Load	190	START	1593599860895	1593599860895
REQUEST	75		Get Balance	1593599858576	1593599860896	OK	 
REQUEST	77		Get Balance	1593599858618	1593599860934	OK	 
USER	Bank Load	192	START	1593599860938	1593599860938
USER	Bank Load	191	START	1593599860917	1593599860917
USER	Bank Load	193	START	1593599860953	1593599860953
REQUEST	78		Get Balance	1593599858634	1593599860972	OK	 
USER	Bank Load	194	START	1593599860975	1593599860975
REQUEST	39		Transaction	1593599858925	1593599860993	OK	 
USER	Bank Load	195	START	1593599860996	1593599860996
REQUEST	79		Get Balance	1593599858655	1593599861008	OK	 
USER	Bank Load	196	START	1593599861017	1593599861017
USER	Bank Load	197	START	1593599861038	1593599861038
USER	Bank Load	198	START	1593599861053	1593599861053
REQUEST	80		Get Balance	1593599858676	1593599861067	OK	 
USER	Bank Load	199	START	1593599861073	1593599861073
USER	Bank Load	200	START	1593599861094	1593599861094
USER	Bank Load	201	START	1593599861116	1593599861116
REQUEST	81		Get Balance	1593599858697	1593599861135	OK	 
USER	Bank Load	202	START	1593599861136	1593599861136
REQUEST	82		Get Balance	1593599858718	1593599861137	OK	 
REQUEST	40		Transaction	1593599858959	1593599861150	OK	 
USER	Bank Load	203	START	1593599861157	1593599861157
REQUEST	29		Create new account	1593599858971	1593599861174	OK	 
USER	Bank Load	29	END	1593599857668	1593599861174
USER	Bank Load	204	START	1593599861177	1593599861177
REQUEST	83		Get Balance	1593599858734	1593599861185	OK	 
REQUEST	84		Get Balance	1593599858755	1593599861193	OK	 
USER	Bank Load	205	START	1593599861193	1593599861193
REQUEST	86		Get Balance	1593599858797	1593599861210	OK	 
USER	Bank Load	206	START	1593599861214	1593599861214
REQUEST	85		Get Balance	1593599858776	1593599861219	OK	 
USER	Bank Load	207	START	1593599861235	1593599861235
REQUEST	88		Get Balance	1593599858834	1593599861236	OK	 
REQUEST	87		Get Balance	1593599858818	1593599861245	OK	 
USER	Bank Load	208	START	1593599861256	1593599861256
REQUEST	90		Get Balance	1593599858877	1593599861271	OK	 
USER	Bank Load	209	START	1593599861277	1593599861277
REQUEST	41		Transaction	1593599859112	1593599861290	OK	 
REQUEST	89		Get Balance	1593599858855	1593599861295	OK	 
REQUEST	91		Get Balance	1593599858898	1593599861295	OK	 
USER	Bank Load	210	START	1593599861297	1593599861297
REQUEST	92		Get Balance	1593599858919	1593599861311	OK	 
USER	Bank Load	211	START	1593599861313	1593599861313
USER	Bank Load	212	START	1593599861334	1593599861334
USER	Bank Load	213	START	1593599861355	1593599861355
REQUEST	95		Get Balance	1593599858975	1593599861359	OK	 
REQUEST	93		Get Balance	1593599858934	1593599861359	OK	 
USER	Bank Load	214	START	1593599861377	1593599861377
REQUEST	94		Get Balance	1593599858955	1593599861377	OK	 
REQUEST	96		Get Balance	1593599858996	1593599861387	OK	 
USER	Bank Load	215	START	1593599861398	1593599861398
REQUEST	97		Get Balance	1593599859017	1593599861401	OK	 
USER	Bank Load	216	START	1593599861413	1593599861413
REQUEST	98		Get Balance	1593599859039	1593599861427	OK	 
USER	Bank Load	217	START	1593599861433	1593599861433
REQUEST	42		Transaction	1593599859283	1593599861434	OK	 
REQUEST	99		Get Balance	1593599859053	1593599861440	OK	 
USER	Bank Load	218	START	1593599861455	1593599861455
REQUEST	100		Get Balance	1593599859075	1593599861469	OK	 
USER	Bank Load	219	START	1593599861477	1593599861477
REQUEST	103		Get Balance	1593599859139	1593599861497	OK	 
USER	Bank Load	220	START	1593599861498	1593599861498
REQUEST	102		Get Balance	1593599859118	1593599861499	OK	 
REQUEST	101		Get Balance	1593599859096	1593599861504	OK	 
USER	Bank Load	221	START	1593599861513	1593599861513
USER	Bank Load	222	START	1593599861533	1593599861533
REQUEST	106		Get Balance	1593599859196	1593599861548	OK	 
USER	Bank Load	223	START	1593599861555	1593599861555
REQUEST	104		Get Balance	1593599859154	1593599861557	OK	 
USER	Bank Load	224	START	1593599861576	1593599861576
USER	Bank Load	225	START	1593599861597	1593599861597
REQUEST	105		Get Balance	1593599859174	1593599861599	OK	 
REQUEST	31		Create new account	1593599859454	1593599861612	OK	 
USER	Bank Load	31	END	1593599857703	1593599861613
USER	Bank Load	226	START	1593599861618	1593599861618
USER	Bank Load	227	START	1593599861633	1593599861633
REQUEST	108		Get Balance	1593599859238	1593599861636	OK	 
REQUEST	107		Get Balance	1593599859217	1593599861646	OK	 
USER	Bank Load	228	START	1593599861655	1593599861655
REQUEST	109		Get Balance	1593599859259	1593599861668	OK	 
USER	Bank Load	229	START	1593599861676	1593599861676
USER	Bank Load	230	START	1593599861697	1593599861697
USER	Bank Load	231	START	1593599861718	1593599861718
USER	Bank Load	232	START	1593599861733	1593599861733
REQUEST	110		Get Balance	1593599859274	1593599861749	OK	 
USER	Bank Load	233	START	1593599861754	1593599861754
USER	Bank Load	234	START	1593599861775	1593599861775
USER	Bank Load	235	START	1593599861796	1593599861796
USER	Bank Load	236	START	1593599861818	1593599861818
REQUEST	111		Get Balance	1593599859295	1593599861821	OK	 
USER	Bank Load	237	START	1593599861833	1593599861833
REQUEST	32		Create new account	1593599859549	1593599861845	OK	 
USER	Bank Load	32	END	1593599857725	1593599861846
USER	Bank Load	238	START	1593599861854	1593599861854
REQUEST	113		Get Balance	1593599859336	1593599861875	OK	 
USER	Bank Load	239	START	1593599861875	1593599861875
REQUEST	112		Get Balance	1593599859315	1593599861889	OK	 
USER	Bank Load	240	START	1593599861896	1593599861896
USER	Bank Load	241	START	1593599861917	1593599861917
USER	Bank Load	242	START	1593599861938	1593599861938
USER	Bank Load	243	START	1593599861953	1593599861953
USER	Bank Load	244	START	1593599861974	1593599861974
USER	Bank Load	245	START	1593599861995	1593599861995
USER	Bank Load	246	START	1593599862016	1593599862016
USER	Bank Load	247	START	1593599862037	1593599862037
REQUEST	114		Get Balance	1593599859357	1593599862043	OK	 
USER	Bank Load	248	START	1593599862058	1593599862058
REQUEST	115		Get Balance	1593599859379	1593599862062	OK	 
REQUEST	116		Get Balance	1593599859394	1593599862068	OK	 
REQUEST	117		Get Balance	1593599859415	1593599862081	OK	 
USER	Bank Load	249	START	1593599862073	1593599862073
USER	Bank Load	250	START	1593599862094	1593599862094
USER	Bank Load	251	START	1593599862115	1593599862115
REQUEST	118		Get Balance	1593599859436	1593599862125	OK	 
USER	Bank Load	252	START	1593599862136	1593599862136
REQUEST	119		Get Balance	1593599859457	1593599862142	OK	 
REQUEST	44		Transaction	1593599859681	1593599862155	OK	 
USER	Bank Load	253	START	1593599862157	1593599862157
USER	Bank Load	254	START	1593599862173	1593599862173
USER	Bank Load	255	START	1593599862194	1593599862194
REQUEST	43		Transaction	1593599859681	1593599862195	OK	 
REQUEST	120		Get Balance	1593599859479	1593599862204	OK	 
USER	Bank Load	256	START	1593599862214	1593599862214
USER	Bank Load	257	START	1593599862235	1593599862235
REQUEST	121		Get Balance	1593599859494	1593599862248	OK	 
USER	Bank Load	258	START	1593599862256	1593599862256
REQUEST	122		Get Balance	1593599859514	1593599862274	OK	 
USER	Bank Load	259	START	1593599862277	1593599862277
USER	Bank Load	260	START	1593599862293	1593599862293
USER	Bank Load	261	START	1593599862313	1593599862313
REQUEST	124		Get Balance	1593599859579	1593599862332	OK	 
USER	Bank Load	262	START	1593599862335	1593599862335
REQUEST	123		Get Balance	1593599859535	1593599862335	OK	 
REQUEST	125		Get Balance	1593599859593	1593599862349	OK	 
USER	Bank Load	263	START	1593599862356	1593599862356
USER	Bank Load	264	START	1593599862378	1593599862378
USER	Bank Load	265	START	1593599862393	1593599862393
REQUEST	126		Get Balance	1593599859615	1593599862396	OK	 
USER	Bank Load	266	START	1593599862414	1593599862414
REQUEST	127		Get Balance	1593599859635	1593599862430	OK	 
USER	Bank Load	267	START	1593599862435	1593599862435
REQUEST	129		Get Balance	1593599859678	1593599862448	OK	 
REQUEST	128		Get Balance	1593599859657	1593599862450	OK	 
REQUEST	45		Transaction	1593599859925	1593599862452	OK	 
