RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
USER	Balance	425	START	1593599360839	1593599360839
USER	Balance	424	START	1593599360839	1593599360839
REQUEST	68		Get Balance	1593599359651	1593599360841	OK	 
USER	Balance	68	END	1593599359650	1593599360842
REQUEST	71		Get Balance	1593599359661	1593599360845	OK	 
USER	Balance	71	END	1593599359661	1593599360845
USER	Balance	426	START	1593599360850	1593599360850
USER	Balance	427	START	1593599360850	1593599360850
USER	Balance	428	START	1593599360850	1593599360850
USER	Balance	430	START	1593599360860	1593599360860
USER	Balance	431	START	1593599360860	1593599360860
USER	Balance	429	START	1593599360860	1593599360860
USER	Balance	433	START	1593599360871	1593599360871
USER	Balance	432	START	1593599360871	1593599360871
USER	Balance	434	START	1593599360871	1593599360871
REQUEST	70		Get Balance	1593599359662	1593599360873	OK	 
